Date,Close
2022-11-14,250.7
2022-11-15,246.9
2022-11-16,239.8
2022-11-17,237.3
2022-11-18,252.3
2022-11-21,243.7
2022-11-22,244.2
2022-11-23,238.0
2022-11-24,243.3
2022-11-25,242.6
2022-11-28,235.5
2022-11-29,230.7
2022-11-30,228.4
2022-12-01,516.6
2022-12-04,329.8
2022-12-05,325.6
2022-12-07,271.2
2022-12-08,268.4
2022-12-09,267.8
2022-12-10,208.4
2022-12-12,204.3
2022-12-13,210.1
2022-12-14,207.9
2022-12-15,206.4
2022-12-16,207.0
2022-12-19,207.0
2022-12-20,206.5
2022-12-21,211.4
2022-12-22,207.8
2022-12-23,211.1
2022-12-28,210.6
2022-12-29,214.7
2022-12-30,213.0
2023-01-02,229.0
2023-01-03,232.2
